repo,n_items,example_url
astrorafael/twisted-mqtt,6,https://github.com/astrorafael/twisted-mqtt/blob/5b322f7c2b82a502b1e1b70703ae45f1f668d07d/examples/pubsubs.py#L72-L89
athre0z/wasm,1,https://github.com/athre0z/wasm/blob/bc9c7e3f40242a2a8fc9650c4b994f0cddf8d755/wasm/decode.py#L14-L29
atlassistant/pychatl,2,https://github.com/atlassistant/pychatl/blob/e2b5600c3183830be266f55fd110dc5e75a86e1c/pychatl/utils.py#L3-L24
attm2x/m2x-python,4,https://github.com/attm2x/m2x-python/blob/df83f590114692b1f96577148b7ba260065905bb/m2x/v2/streams.py#L15-L26
authomatic/authomatic,6,https://github.com/authomatic/authomatic/blob/90a9ce60cc405ae8a2bf5c3713acd5d78579a04e/authomatic/core.py#L212-L228
avelino/bottle-auth,9,https://github.com/avelino/bottle-auth/blob/db07e526864aeac05ee68444b47e5db29540ce18/bottle_auth/core/auth.py#L426-L455
awentzonline/keras-vgg-buddy,6,https://github.com/awentzonline/keras-vgg-buddy/blob/716cb66396b839a66ec8dc66998066b360a8f395/keras_vgg_buddy/models.py#L48-L53
azogue/esiosdata,1,https://github.com/azogue/esiosdata/blob/680c7918955bc6ceee5bded92b3a4485f5ea8151/esiosdata/classdataesios.py#L63-L70
bakwc/PySyncObj,5,https://github.com/bakwc/PySyncObj/blob/be3b0aaa932d5156f5df140c23c962430f51b7b8/pysyncobj/batteries.py#L389-L394
benmontet/f3,3,https://github.com/benmontet/f3/blob/b2e1dc250e4e3e884a54c501cd35cf02d5b8719e/f3/photometry.py#L424-L449
bethgelab/foolbox,2,https://github.com/bethgelab/foolbox/blob/8ab54248c70e45d8580a7d9ee44c9c0fb5755c4a/foolbox/utils.py#L89-L117
bheinzerling/descriptors,4,https://github.com/bheinzerling/descriptors/blob/04fff864649fba9bd6a2d8f8b649cf30994e0e46/descriptors/Descriptor.py#L83-L99
bigdatacesga/kvstore,2,https://github.com/bigdatacesga/kvstore/blob/8ad2222b39d47defc8ad30deda3da06798e2a9a4/kvstore.py#L39-L57
bindlock/vklancer,3,https://github.com/bindlock/vklancer/blob/10151c3856bc6f46a1f446ae4d605d46aace3669/vklancer/api.py#L26-L39
bipsandbytes/django-api,1,https://github.com/bipsandbytes/django-api/blob/df99f4ccbb0c5128bd06da83f60881a85f6dbfe1/django_api/decorators.py#L185-L218
bird-house/twitcher,4,https://github.com/bird-house/twitcher/blob/e6a36b3aeeacf44eec537434b0fb87c09ab54b5f/twitcher/datatype.py#L56-L67
bitlabstudio/django-dashboard-app,2,https://github.com/bitlabstudio/django-dashboard-app/blob/ed98f2bca91a4ced36d0dd1aa1baee78e989cf64/dashboard_app/view_mixins.py#L44-L61
bitlabstudio/django-hero-slider,2,https://github.com/bitlabstudio/django-hero-slider/blob/8153b3eece76c47210a266c2edb660725c34a56e/hero_slider/templatetags/hero_slider_tags.py#L21-L30
bivab/smbus-cffi,6,https://github.com/bivab/smbus-cffi/blob/7486931edf55fcdde84db38356331c65851a40b1/smbus/smbus.py#L226-L239
bjoernricks/python-quilt,7,https://github.com/bjoernricks/python-quilt/blob/fae88237f601848cc34d073584d9dcb409f01777/quilt/utils.py#L76-L103
bkg/greenwich,10,https://github.com/bkg/greenwich/blob/57ec644dadfe43ce0ecf2cfd32a2de71e0c8c141/greenwich/raster.py#L474-L488
bkosciow/python_iot-1,1,https://github.com/bkosciow/python_iot-1/blob/32880760e0d218a686ebdb0b6ee3ce07e5cbf018/setup.py#L9-L12
blockstack-packages/keychain-manager-py,1,https://github.com/blockstack-packages/keychain-manager-py/blob/c15c4ed8f3ed155f71ccac7c13ee08f081d38c06/keychain/utils.py#L41-L55
blockstack/zone-file-py,22,https://github.com/blockstack/zone-file-py/blob/c1078c8c3c28f0881bc9a3af53d4972c4a6862d0/blockstack_zones/record_processors.py#L26-L72
bloomreach/s4cmd,34,https://github.com/bloomreach/s4cmd/blob/bb51075bf43703e7cd95aa39288cf7732ec13a6d/s4cmd.py#L1754-L1761
bluedisk/hangul-toolkit,1,https://github.com/bluedisk/hangul-toolkit/blob/f36b534ee339263fb72e687b732697cc7ed290dc/hgtk/letter.py#L49-L79
bolt-project/bolt,10,https://github.com/bolt-project/bolt/blob/9cd7104aa085498da3097b72696184b9d3651c51/bolt/factory.py#L37-L55
boto/s3transfer,6,https://github.com/boto/s3transfer/blob/2aead638c8385d8ae0b1756b2de17e8fad45fffa/s3transfer/processpool.py#L596-L608
boundary/pulse-api-cli,14,https://github.com/boundary/pulse-api-cli/blob/b01ca65b442eed19faac309c9d62bbc3cb2c098f/boundary/api_cli.py#L98-L104
boundlessgeo/gsconfig,2,https://github.com/boundlessgeo/gsconfig/blob/532f561f32b91ea8debea0573c503dd20988bf40/src/geoserver/support.py#L47-L69
boxed/mutmut,2,https://github.com/boxed/mutmut/blob/dd3bbe9aba3168ed21b85fbfe0b654b150239697/mutmut/__init__.py#L564-L586
brandon-rhodes/python-jplephem,4,https://github.com/brandon-rhodes/python-jplephem/blob/48c99ce40c627e24c95479d8845e312ea168f567/jplephem/daf.py#L92-L117
briandilley/ebs-deploy,3,https://github.com/briandilley/ebs-deploy/blob/4178c9c1282a9025fb987dab3470bea28c202e10/ebs_deploy/__init__.py#L356-L377
bruth/cypher,1,https://github.com/bruth/cypher/blob/4f962f51539ac5a667ab5a050b6b4052d4c10c0f/cypher/shortcuts.py#L5-L23
bsmithyman/problemo,1,https://github.com/bsmithyman/problemo/blob/711c54894e50200accd02c5e5b427194b628b3e9/problemo/solverwrap.py#L61-L66
buckket/twtxt,1,https://github.com/buckket/twtxt/blob/6c8ad8ef3cbcf0dd335a12285d8b6bbdf93ce851/twtxt/config.py#L222-L253
c-soft/satel_integra,8,https://github.com/c-soft/satel_integra/blob/3b6d2020d1e10dc5aa40f30ee4ecc0f3a053eb3c/satel_integra/satel_integra.py#L311-L322
calston/tensor,5,https://github.com/calston/tensor/blob/7c0c99708b5dbff97f3895f705e11996b608549d/tensor/utils.py#L349-L357
capitalone/giraffez,7,https://github.com/capitalone/giraffez/blob/6b4d27eb1a1eaf188c6885c7364ef27e92b1b957/giraffez/types.py#L347-L364
cartoonist/pystream-protobuf,2,https://github.com/cartoonist/pystream-protobuf/blob/40e70b932436887b748905e5e0a82839e4c559f0/stream/stream.py#L39-L53
cassinyio/SwarmSpawner,3,https://github.com/cassinyio/SwarmSpawner/blob/3c39134ef7e02e2afc5d18da7d18d2c69421ed08/cassinyspawner/swarmspawner.py#L132-L147
ccubed/Shosetsu,5,https://github.com/ccubed/Shosetsu/blob/eba01c058100ec8806129b11a2859f3126a1b101/Shosetsu/VNDB.py#L211-L233
celiao/tmdbsimple,25,https://github.com/celiao/tmdbsimple/blob/ff17893110c99771d6398a62c35d36dd9735f4b9/tmdbsimple/movies.py#L70-L85
cgarciae/dicto,1,https://github.com/cgarciae/dicto/blob/fee67e1abcf2538455fee62414c34eb2354bdafa/dicto/dicto_legacy.py#L54-L70
chairco/pyRscript,1,https://github.com/chairco/pyRscript/blob/e952f450a873de52baa4fe80ed901f0cf990c0b7/pyRscript/pyRscript.py#L88-L98
chaoss/grimoirelab-kingarthur,16,https://github.com/chaoss/grimoirelab-kingarthur/blob/9d6a638bee68d5e5c511f045eeebf06340fd3252/arthur/scheduler.py#L220-L251
chaoss/grimoirelab-perceval,133,https://github.com/chaoss/grimoirelab-perceval/blob/41c908605e88b7ebc3a536c643fa0f212eaf9e0e/perceval/backends/core/github.py#L578-L598
chaoss/grimoirelab-perceval-mozilla,7,https://github.com/chaoss/grimoirelab-perceval-mozilla/blob/4514f8d3d609d3cb79d83c72d51fcc4b4a7daeb4/perceval/backends/mozilla/crates.py#L231-L238
chaoss/grimoirelab-sirmordred,2,https://github.com/chaoss/grimoirelab-sirmordred/blob/d6ac94d28d707fae23170064d078f1edf937d13e/sirmordred/eclipse_projects_lib.py#L170-L183
chrisjrn/registrasion,24,https://github.com/chrisjrn/registrasion/blob/461d5846c6f9f3b7099322a94f5d9911564448e4/registrasion/controllers/batch.py#L71-L104
chrislit/abydos,11,https://github.com/chrislit/abydos/blob/165466b3ff6afd8024a4c8660421b0c4e7773db9/abydos/stemmer/_s_stemmer.py#L42-L77
chrisnorman7/wxgoodies,1,https://github.com/chrisnorman7/wxgoodies/blob/0064e4d5784714b90357ebb0bc721395e103349b/wxgoodies/keys.py#L44-L68
chrisrink10/basilisp,61,https://github.com/chrisrink10/basilisp/blob/3d82670ee218ec64eb066289c82766d14d18cc92/src/basilisp/lang/set.py#L129-L131
chrisspen/burlap,3,https://github.com/chrisspen/burlap/blob/a92b0a8e5206850bb777c74af8421ea8b33779bd/burlap/common.py#L1939-L1967
chuck1/codemach,4,https://github.com/chuck1/codemach/blob/b0e02f363da7aa58de7d6ad6499784282958adeb/codemach/machine.py#L433-L464
cldf/clts,1,https://github.com/cldf/clts/blob/2798554c9c4e668bce0e4f5b0d91cf03c2d7c13a/src/pyclts/soundclasses.py#L27-L51
cldf/csvw,1,https://github.com/cldf/csvw/blob/181c94b6c599575945e52d370a415f12f3433eab/src/csvw/utils.py#L86-L112
cldf/pycldf,2,https://github.com/cldf/pycldf/blob/636f1eb3ea769394e14ad9e42a83b6096efa9728/src/pycldf/db.py#L181-L212
cloud9ers/gurumate,416,https://github.com/cloud9ers/gurumate/blob/075dc74d1ee62a8c6b7a8bf2b271364f01629d1e/environment/lib/python2.7/site-packages/psutil/_psosx.py#L188-L191
clouserw/tower,4,https://github.com/clouserw/tower/blob/e2ac254f7dac887952441592f7772af7bb25cc7b/tower/__init__.py#L169-L198
cltrudeau/django-awl,2,https://github.com/cltrudeau/django-awl/blob/70d469ef9a161c1170b53aa017cf02d7c15eb90c/awl/waelsteng.py#L74-L104
cmcginty/PyWeather,6,https://github.com/cmcginty/PyWeather/blob/8c25d9cd1fa921e0a6e460d523656279cac045cb/scripts/weatherpub.py#L51-L73
codeghar/brokerlso,3,https://github.com/codeghar/brokerlso/blob/e110e12502b090e12b06c7615dd0a96a14a92585/brokerlso/qmfv2.py#L179-L194
codeinthehole/django-async-messages,3,https://github.com/codeinthehole/django-async-messages/blob/292cb2fc517521dabc67b90e7ca5b1617f59e214/async_messages/__init__.py#L33-L44
codelv/enaml-native-maps,2,https://github.com/codelv/enaml-native-maps/blob/5b6dda745cede05755dd40d29775cc0544226c29/src/googlemaps/android/android_map_view.py#L62-L78
codelv/enaml-web,8,https://github.com/codelv/enaml-web/blob/88f1131a7b3ba9e83467b4f44bc3bab6f0de7559/examples/data_binding/main.py#L57-L81
cokelaer/spectrum,5,https://github.com/cokelaer/spectrum/blob/bad6c32e3f10e185098748f67bb421b378b06afe/src/spectrum/window.py#L1168-L1204
coleifer/irc,8,https://github.com/coleifer/irc/blob/f9d2bd6369aafe6cb0916c9406270ca8ecea2080/botnet/worker.py#L99-L108
connectordb/connectordb-python,7,https://github.com/connectordb/connectordb-python/blob/2092b0cb30898139a247176bcf433d5a4abde7cb/connectordb/logger.py#L361-L379
coops/r53,2,https://github.com/coops/r53/blob/3c4e7242ad65b0e1ad4ba6b4ac893c7d501ceb0a/src/r53/r53.py#L73-L82
coremke/django-quill,1,https://github.com/coremke/django-quill/blob/6c5ace1a96e291f0a8e401f6d61d634dd0cb7c9f/quill/widgets.py#L35-L48
cpenv/cpenv,1,https://github.com/cpenv/cpenv/blob/afbb569ae04002743db041d3629a5be8c290bd89/cpenv/utils.py#L384-L397
cthoyt/ols-client,4,https://github.com/cthoyt/ols-client/blob/8c6bb54888675652d25324184967392d00d128fc/src/ols_client/client.py#L208-L225
d0c-s4vage/gramfuzz,2,https://github.com/d0c-s4vage/gramfuzz/blob/023727ac8744ae026d1105cc97c152bdf3abb8d6/examples/grams/bizbs.py#L32-L48
dade-ai/snipy,4,https://github.com/dade-ai/snipy/blob/408520867179f99b3158b57520e2619f3fecd69b/snipy/img/imageutil.py#L461-L476
dagster-io/dagster,7,https://github.com/dagster-io/dagster/blob/4119f8c773089de64831b1dfb9e168e353d401dc/python_modules/dagster/dagster/core/types/field_utils.py#L338-L359
datacamp/pythonwhat,3,https://github.com/datacamp/pythonwhat/blob/ffbf7f8436a51f77c22f3bed75ba3bc37a5c666f/pythonwhat/checks/has_funcs.py#L420-L456
dave-shawley/ietfparse,13,https://github.com/dave-shawley/ietfparse/blob/d28f360941316e45c1596589fa59bc7d25aa20e0/ietfparse/headers.py#L378-L411
davelab6/pyfontaine,2,https://github.com/davelab6/pyfontaine/blob/e9af7f2667e85803a7f5ea2b1f0d9a34931f3b95/fontaine/charsets/internals/gfonts_utils.py#L104-L126
davidmiller/urlhelp,2,https://github.com/davidmiller/urlhelp/blob/9cc417a5dc5bd4a7e17ed78a1f1394a6ece9faa5/urlhelp/__init__.py#L34-L52
dbcli/cli_helpers,15,https://github.com/dbcli/cli_helpers/blob/3ebd891ac0c02bad061182dbcb54a47fb21980ae/cli_helpers/utils.py#L10-L21
deepmipt/DeepPavlov,28,https://github.com/deepmipt/DeepPavlov/blob/f3e4a69a3764d25d2f5bad4f1f1aebc872b00f9c/deeppavlov/models/classifiers/utils.py#L24-L49
dereneaton/ipyrad,13,https://github.com/dereneaton/ipyrad/blob/5eeb8a178160f45faf71bf47cec4abe998a575d1/ipyrad/analysis/bpp.py#L741-L787
dhhagan/py-opc,1,https://github.com/dhhagan/py-opc/blob/2c8f19530fb64bf5fd4ee0d694a47850161ed8a7/opc/__init__.py#L886-L924
django-inplaceedit/django-inplaceedit,1,https://github.com/django-inplaceedit/django-inplaceedit/blob/7ba18e7906f56c56395ca07e2486755062efce00/inplaceeditform/commons.py#L35-L57
djangobot/djangobot,3,https://github.com/djangobot/djangobot/blob/0ec951891812ea4114c27a08c790f63d0f0fd254/djangobot/slack.py#L99-L108
dogoncouch/lightcli,3,https://github.com/dogoncouch/lightcli/blob/e63093dfc4f983ec9c9571ff186bf114c1f782c3/lightcli.py#L121-L155
dopefishh/pympi,17,https://github.com/dopefishh/pympi/blob/79c747cde45b5ba203ed93154d8c123ac9c3ef56/pympi/Elan.py#L600-L616
dossier/dossier.store,14,https://github.com/dossier/dossier.store/blob/b22ffe2470bba9fcc98a30cb55b437bfa1521e7f/dossier/store/elastic.py#L140-L160
draios/python-sdc-client,7,https://github.com/draios/python-sdc-client/blob/47f83415842048778939b90944f64386a3bcb205/sdcclient/_secure.py#L849-L869
drhagen/parsita,5,https://github.com/drhagen/parsita/blob/d97414a05541f48231381f607d1d2e6b50781d39/parsita/parsers.py#L318-L330
dwhswenson/autorelease,3,https://github.com/dwhswenson/autorelease/blob/339c32c3934e4751857f35aaa2bfffaaaf3b39c4/autorelease/version_checks.py#L23-L66
eagleflo/adjutant,1,https://github.com/eagleflo/adjutant/blob/85d800d9979fa122e0888af48c2e6a697f9da458/adjutant.py#L109-L119
ecometrica/grandfatherson,1,https://github.com/ecometrica/grandfatherson/blob/b166e4e44887960c3066ebd28eecadfae19561e1/grandfatherson/filters.py#L37-L42
edaniszewski/colorutils,8,https://github.com/edaniszewski/colorutils/blob/bdff54091cb5d62aa8628ce39bc09abd40fb8dd0/colorutils/convert.py#L112-L132
edavis/django-override-settings,2,https://github.com/edavis/django-override-settings/blob/016a2ba44cf7132d3aeefbfeddaf201217b1d4b6/override_settings/__init__.py#L75-L81
edeposit/marcxml_parser,1,https://github.com/edeposit/marcxml_parser/blob/6d1c77c61fc2827b71f1b3d5aa3332d7f5807820/src/marcxml_parser/query.py#L539-L552
edoburu/django-debugtools,7,https://github.com/edoburu/django-debugtools/blob/5c609c00fa9954330cd135fc62a1e18b8e7fea8a/debugtools/templatetags/debugtools_tags.py#L64-L83
edoburu/django-tag-parser,3,https://github.com/edoburu/django-tag-parser/blob/c24256cfdd0248434f2e3df3444ed9f945d4181f/tag_parser/basetags.py#L167-L186
edx/ease,1,https://github.com/edx/ease/blob/a7890ed403da94d03726b0639cd8ebda45af6bbb/ease/model_creator.py#L113-L128
edx/ecommerce-worker,7,https://github.com/edx/ecommerce-worker/blob/55246961d805b1f64d661a5c0bae0a216589401f/ecommerce_worker/cache.py#L23-L51
edx/edx-enterprise,7,https://github.com/edx/edx-enterprise/blob/aea91379ab0a87cd3bc798961fce28b60ee49a80/enterprise/utils.py#L543-L567
edx/edx-organizations,2,https://github.com/edx/edx-organizations/blob/51000d5d359d880a6eb3a79345f60744f1982c00/organizations/validators.py#L23-L33
edx/edx-search,2,https://github.com/edx/edx-search/blob/476cf02b71ceba34ae7d8b798f36d60692317c55/search/elastic.py#L26-L61
edx/web-fragments,3,https://github.com/edx/web-fragments/blob/42d760d700d70465e4e573b7b41442d8802ccd3c/web_fragments/views.py#L32-L40
eecs-autograder/autograder-sandbox,1,https://github.com/eecs-autograder/autograder-sandbox/blob/230e806e3740e2aaf5f5568dd6a265558f165c63/autograder_sandbox/autograder_sandbox.py#L347-L356
ekmmetering/ekmmeters,13,https://github.com/ekmmetering/ekmmeters/blob/b3748bdf30263bfa46ea40157bdf8df2522e1904/ekmmeters.py#L3189-L3201
ekzhu/datasketch,4,https://github.com/ekzhu/datasketch/blob/b3e4129987890a2beb04f2c0b6dc618ae35f2e14/datasketch/lshensemble_partition.py#L75-L93
elliterate/capybara.py,35,https://github.com/elliterate/capybara.py/blob/0c6ae449cc37e4445ec3cd6af95674533beedc6c/capybara/node/actions.py#L16-L42
elyase/masstable,6,https://github.com/elyase/masstable/blob/3eb72b22cd3337bc5c6bb95bb7bb73fdbe6ae9e2/masstable/masstable.py#L70-L89
ema/pycodicefiscale,1,https://github.com/ema/pycodicefiscale/blob/4d06a145cdcffe7ee576f2fedaf40e2c6f7692a4/codicefiscale.py#L179-L198
eng-tools/geofound,5,https://github.com/eng-tools/geofound/blob/6b1b097d5db998907bdcb5b4798fb4629674c770/geofound/models.py#L70-L80
erichiggins/gaek,2,https://github.com/erichiggins/gaek/blob/eb6bbc2d2688302834f97fd97891592e8b9659f2/gaek/ndb_json.py#L226-L229
etingof/pysmi,16,https://github.com/etingof/pysmi/blob/379a0a384c81875731be51a054bdacced6260fd8/pysmi/parser/smi.py#L931-L938
ewilazarus/yld,2,https://github.com/ewilazarus/yld/blob/157e474d1055f14ffdfd7e99da6c77d5f17d4307/yld/tag.py#L174-L187
eyeseast/python-frontmatter,2,https://github.com/eyeseast/python-frontmatter/blob/c318e583c48599eb597e0ad59c5d972258c3febc/frontmatter/__init__.py#L249-L253
farzadghanei/statsd-metrics,3,https://github.com/farzadghanei/statsd-metrics/blob/153ff37b79777f208e49bb9d3fb737ba52b99f98/statsdmetrics/client/__init__.py#L186-L199
fastmonkeys/stellar,3,https://github.com/fastmonkeys/stellar/blob/79f0353563c35fa6ae46a2f00886ab1dd31c4492/stellar/command.py#L58-L70
ferhatelmas/sexmachine,1,https://github.com/ferhatelmas/sexmachine/blob/85d33bb47ccc017676e69788750f116e391f52db/sexmachine/detector.py#L64-L72
ferrix/dj-mongohq-url,3,https://github.com/ferrix/dj-mongohq-url/blob/0901ca46cf7071881726310e666a5fe9aa0303ef/dj_mongohq_url.py#L36-L62
flit/elapsedtimer,2,https://github.com/flit/elapsedtimer/blob/30cd61bb4e3f4dff4e13c7a3e49c410795224a4b/elapsedtimer.py#L68-L76
fm4d/PyMarkovTextGenerator,4,https://github.com/fm4d/PyMarkovTextGenerator/blob/4a7e8e2cfe14c9745aba6b9df7d7b402a9029a37/markov.py#L170-L192
fossasia/knittingpattern,1,https://github.com/fossasia/knittingpattern/blob/8e608896b0ab82fea1ca9fbfa2b4ee023d8c8027/knittingpattern/convert/SVGBuilder.py#L129-L146
foxx/peewee-extras,2,https://github.com/foxx/peewee-extras/blob/327e7e63465b3f6e1afc0e6a651f4cb5c8c60889/old/old.py#L28-L35
frascoweb/easywebassets,1,https://github.com/frascoweb/easywebassets/blob/02f84376067c827c84fc1773895bb2784e033949/easywebassets/package.py#L80-L94
freelancer/freelancer-sdk-python,1,https://github.com/freelancer/freelancer-sdk-python/blob/e09034936d6f13b3909a9464ee329c81c1834941/freelancersdk/resources/messages/messages.py#L50-L71
frictionlessdata/datapackage-py,6,https://github.com/frictionlessdata/datapackage-py/blob/aca085ea54541b087140b58a81332f8728baeeb2/datapackage/pushpull.py#L202-L229
fukuball/fuku-ml,1,https://github.com/fukuball/fuku-ml/blob/0da15ad7af76adf344b5a6b3f3dbabbbab3446b0/FukuML/L2RLogisticRegression.py#L136-L148
funilrys/PyFunceble,17,https://github.com/funilrys/PyFunceble/blob/cdf69cbde120199171f7158e1c33635753e6e2f5/PyFunceble/mining.py#L376-L394
futapi/fut,2,https://github.com/futapi/fut/blob/3792c9eee8f5884f38a02210e649c46c6c7a756d/fut/EAHashingAlgorithm.py#L26-L36
fy0/slim,2,https://github.com/fy0/slim/blob/9951a910750888dbe7dd3e98acae9c40efae0689/slim/base/sqlquery.py#L186-L208
gamechanger/dusty,16,https://github.com/gamechanger/dusty/blob/dc12de90bb6945023d6f43a8071e984313a1d984/dusty/compiler/spec_assembler.py#L42-L48
gaqzi/py-gocd,2,https://github.com/gaqzi/py-gocd/blob/6fe5b62dea51e665c11a343aba5fc98e130c5c63/gocd/api/pipeline.py#L208-L252
gawel/panoramisk,5,https://github.com/gawel/panoramisk/blob/2ccb5d18be28a8e8f444dc0cd3a3bfb59aa19a8e/panoramisk/utils.py#L57-L88
gears/gears,8,https://github.com/gears/gears/blob/5729c2525a8c04c185e998bd9a86233708972921/gears/asset_attributes.py#L73-L84
genialis/genesis-pyapi,10,https://github.com/genialis/genesis-pyapi/blob/dfe9bcc8b332a8b9873db4ab9994b0cc10eb209a/genesis/data.py#L72-L90
geopython/OWSLib,10,https://github.com/geopython/OWSLib/blob/96d47842401a129f1e86fa9f66dccef5a5a6872c/owslib/feature/wfs300.py#L147-L166
georgemarshall/django-cryptography,1,https://github.com/georgemarshall/django-cryptography/blob/4c5f60fec98bcf71495d6084f801ea9c01c9a725/django_cryptography/utils/version.py#L6-L29
getgauge/gauge-python,5,https://github.com/getgauge/gauge-python/blob/90f3547dcfd2d16d51f116cdd4e53527eeab1a57/getgauge/parser_parso.py#L140-L164
ghcollin/multitables,2,https://github.com/ghcollin/multitables/blob/9654a45800289a20e66d2b0e0666149f0d370f93/multitables.py#L107-L115
gholt/swiftly,23,https://github.com/gholt/swiftly/blob/5bcc1c65323b1caf1f85adbefd9fc4988c072149/swiftly/client/client.py#L263-L288
giffels/CloudStackAIO,1,https://github.com/giffels/CloudStackAIO/blob/f9df856622eb8966a6816f8008cc16d75b0067e5/CloudStackAIO/CloudStack.py#L223-L238
glottobank/python-newick,7,https://github.com/glottobank/python-newick/blob/e8d4d1e4610f271d0f0e5cb86c0e0360b43bd702/src/newick.py#L451-L473
gmr/tornado-elasticsearch,1,https://github.com/gmr/tornado-elasticsearch/blob/fafe0de680277ce6faceb7449ded0b33822438d0/tornado_elasticsearch.py#L288-L313
gnosis/gnosis-py,7,https://github.com/gnosis/gnosis-py/blob/2a9a5d75a375fc9813ac04df133e6910c82f9d49/gnosis/safe/safe_creation_tx.py#L290-L300
google/brotli,15,https://github.com/google/brotli/blob/4b2b2d4f83ffeaac7708e44409fe34896a01a278/research/brotlidump.py#L1376-L1383
google/gin-config,8,https://github.com/google/gin-config/blob/17a170e0a6711005d1c78e67cf493dc44674d44f/gin/config_parser.py#L440-L452
google/grumpy,14,https://github.com/google/grumpy/blob/3ec87959189cfcdeae82eb68a47648ac25ceb10b/third_party/pythonparser/__init__.py#L5-L33
google/pybadges,4,https://github.com/google/pybadges/blob/d42c8080adb21b81123ac9540c53127ed2fa1edc/pybadges/precalculate_text.py#L87-L105
goose3/goose3,5,https://github.com/goose3/goose3/blob/e6994b1b1826af2720a091d1bff5ca15594f558d/goose3/extractors/title.py#L79-L106
grampajoe/happy,4,https://github.com/grampajoe/happy/blob/707e056eb033ea010d181f5fab8d44e129ea9906/happy/cli.py#L14-L29
greenbender/pynntp,16,https://github.com/greenbender/pynntp/blob/991a76331cdf5d8f9dbf5b18f6e29adc80749a2f/nntp/nntp.py#L548-L565
gtaylor/python-route53,12,https://github.com/gtaylor/python-route53/blob/b9fc7e258a79551c9ed61e4a71668b7f06f9e774/route53/connection.py#L34-L51
gunyarakun/python-shogi,2,https://github.com/gunyarakun/python-shogi/blob/137fe5f5e72251e8a97a1dba4a9b44b7c3c79914/shogi/Move.py#L48-L61
h2non/pook,6,https://github.com/h2non/pook/blob/e64094e41e4d89d98d2d29af7608ef27dc50cf19/pook/engine.py#L84-L104
h2oai/h2o-3,82,https://github.com/h2oai/h2o-3/blob/dd62aaa1e7f680a8b16ee14bc66b0fb5195c2ad8/h2o-py/h2o/estimators/estimator_base.py#L79-L86
hadim/pygraphml,2,https://github.com/hadim/pygraphml/blob/dce007bd7f078427c73a2a1d6f4b834af1b4dc03/pygraphml/graphml_parser.py#L82-L123
has2k1/mizani,1,https://github.com/has2k1/mizani/blob/312d0550ee0136fd1b0384829b33f3b2065f47c8/mizani/transforms.py#L393-L420
hdima/erlport,1,https://github.com/hdima/erlport/blob/246b7722d62b87b48be66d9a871509a537728962/priv/python3/erlport/erlproto.py#L97-L113
hiposfer/o2g,4,https://github.com/hiposfer/o2g/blob/1165ba75a5eb64b3091e9b71ebd589507ae1ebf3/o2g/osm/handlers/node_handler.py#L15-L20
hirmeos/entity-fishing-client-python,5,https://github.com/hirmeos/entity-fishing-client-python/blob/cd5c6e10c6c4e653669e11d735d5773766986bda/nerd/nerd_client.py#L278-L318
hishnash/channelsmultiplexer,2,https://github.com/hishnash/channelsmultiplexer/blob/3fa08bf56def990b3513d25e403f85357487b373/channelsmultiplexer/demultiplexer.py#L111-L133
hivetech/dna,8,https://github.com/hivetech/dna/blob/50ad00031be29765b2576fa407d35a36e0608de9/python/dna/apy/utils.py#L15-L23
hobson/aima,8,https://github.com/hobson/aima/blob/3572b2fb92039b4a1abe384be8545560fbd3d470/aima/agents.py#L157-L170
hobson/pug,1,https://github.com/hobson/pug/blob/f183e2b29e0b3efa425a9b75cfe001b28a279acc/pug/setup_util.py#L16-L25
honzajavorek/danube-delta,1,https://github.com/honzajavorek/danube-delta/blob/d0a72f0704d52b888e7fb2b68c4fdc696d370018/danube_delta/cli/write.py#L12-L44
horazont/aiosasl,3,https://github.com/horazont/aiosasl/blob/af58bf30f688757e58af6e87892d35a8ce798482/aiosasl/__init__.py#L512-L526
hotdogee/gff3-py,1,https://github.com/hotdogee/gff3-py/blob/d239bc9ed1eb7014c174f5fbed754f0f02d6e1b9/gff3/gff3.py#L203-L220
howie6879/ruia,6,https://github.com/howie6879/ruia/blob/2dc5262fc9c3e902a8faa7d5fa2f046f9d9ee1fa/ruia/spider.py#L446-L454
hustlzp/Flask-Boost,3,https://github.com/hustlzp/Flask-Boost/blob/d0308408ebb248dd752b77123b845f8ec637fab2/flask_boost/cli.py#L213-L237
hydrosquall/tiingo-python,1,https://github.com/hydrosquall/tiingo-python/blob/9bb98ca9d24f2e4db651cf0590e4b47184546482/tiingo/api.py#L101-L116
ibm-watson-iot/iot-python,39,https://github.com/ibm-watson-iot/iot-python/blob/195f05adce3fba4ec997017e41e02ebd85c0c4cc/tmp/src/things/things.py#L668-L688
idlesign/django-etc,4,https://github.com/idlesign/django-etc/blob/dbfc7e9dfc4fdfe69547f71ba4921989f9e97dbe/etc/toolbox.py#L190-L214
idlesign/django-sitetree,14,https://github.com/idlesign/django-sitetree/blob/61de4608e6e415247c75fe8691027d7c4ed0d1e7/sitetree/sitetreeapp.py#L1024-L1053
ihgazni2/elist,30,https://github.com/ihgazni2/elist/blob/8c07b5029bda34ead60ce10335ceb145f209263c/elist/elist.py#L2632-L2662
incuna/django-pgcrypto-fields,4,https://github.com/incuna/django-pgcrypto-fields/blob/406fddf0cbe9091ba71b97206d0f4719c0450ac1/pgcrypto/mixins.py#L50-L56
